"group_no","row_no_in_group","display_run_no","run_no","original_run_no","mode","result","attempt","source_file","source_row","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration"
"6","15","11","11","1","social_astar","succeeded","0","experiment_results_v3.csv","61","35.907","100.94","5","14","2","0.418","0.2773"
"6","16","12","12","2","social_astar","succeeded","0","experiment_results_v3.csv","62","37.559","166.46","14","24","12","0.118","0.2708"
"6","17","13","13","3","social_astar","aborted","0","experiment_results_v3.csv","63","15.838","45.07","2","2","1","0.347","0.2912"
"6","18","13","13","3","social_astar","timeout","1","experiment_results_v3.csv","64","33.395","450.4","62","72","6","0.021","0.1375"
"6","19","14","14","4","social_astar","succeeded","0","experiment_results_v3.csv","65","36.357","103.23","6","8","4","0.029","0.2161"
"6","20","15","15","5","social_astar","succeeded","0","experiment_results_v3.csv","66","41.286","187.42","13","21","6","0.071","0.2683"
"6","21","16","16","1","social_astar","succeeded","0","experiment_results_v3.csv","86","36.158","103.54","6","18","7","0.124","0.2917"
"6","22","17","17","2","social_astar","succeeded","0","experiment_results_v3.csv","87","36.485","99.69","8","14","3","0.145","0.2851"
"6","23","18","18","3","social_astar","succeeded","0","experiment_results_v3.csv","88","36.32","99.83","7","13","3","0.297","0.2788"
"6","24","19","19","4","social_astar","succeeded","0","experiment_results_v3.csv","89","36.401","101.61","7","8","3","0.117","0.2637"
"6","25","20","20","5","social_astar","succeeded","0","experiment_results_v3.csv","90","36.633","148.58","16","18","11","0.106","0.236"
"7","1","1","1","1","social_smac","aborted","0","social_4groups_headless_10.csv","26","53.825","181.8","12","22","11","0.037","0.3287"
"7","2","1","1","1","social_smac","succeeded","1","social_4groups_headless_10.csv","27","42.156","107.45","10","15","4","0.281","0.3466"
"7","3","2","2","2","social_smac","succeeded","0","social_4groups_headless_10.csv","28","42.058","125.95","11","12","4","0.041","0.3638"
"7","4","3","3","3","social_smac","aborted","0","social_4groups_headless_10.csv","29","49.701","167.56","18","18","1","0.305","0.3308"
"7","5","3","3","3","social_smac","timeout","1","social_4groups_headless_10.csv","30","41.034","450.38","31","47","26","0.023","0.2518"
"7","6","4","4","4","social_smac","aborted","0","social_4groups_headless_10.csv","31","40.397","182.75","12","16","2","0.321","0.3349"
"7","7","4","4","4","social_smac","aborted","1","social_4groups_headless_10.csv","32","26.177","81.81","8","11","3","0.2","0.3586"
"7","8","4","4","4","social_smac","aborted","2","social_4groups_headless_10.csv","33","16.031","121.84","2","3","1","0.357","0.41"
"7","9","5","5","5","social_smac","succeeded","0","social_4groups_headless_10.csv","34","44.82","141.77","11","16","3","0.072","0.2988"
"7","10","6","6","6","social_smac","aborted","0","social_4groups_headless_10.csv","35","41.996","115.07","11","13","5","0.076","0.309"
"7","11","6","6","6","social_smac","succeeded","1","social_4groups_headless_10.csv","36","37.727","100.5","6","9","0","0.479","0.3168"
"7","12","7","7","7","social_smac","succeeded","0","social_4groups_headless_10.csv","37","37.203","103.42","5","8","1","0.195","0.3212"
"7","13","8","8","8","social_smac","succeeded","0","social_4groups_headless_10.csv","38","44.308","142.02","8","14","3","0.062","0.3272"
"7","14","9","9","9","social_smac","succeeded","0","social_4groups_headless_10.csv","39","37.854","101.46","7","8","1","0.16","0.3099"
"7","15","10","10","10","social_smac","succeeded","0","social_4groups_headless_10.csv","40","37.625","100.55","4","7","1","0.31","0.2986"
