"experiment","mode","result","attempt","path_length_m","time_s","encounters","personal_violations","intimate_violations","min_ped_dist_m","mean_angular_acceleration","source"
"14","social","succeeded","0","36.11","159.26","19","21","15","0.073","0.2232","experiment_results_v3.csv"
"15","social","succeeded","0","39.256","116.03","14","12","6","0.102","0.2503","experiment_results_v3.csv"
"16","social","aborted","0","32.494","112.57","9","13","3","0.066","0.2889","experiment_results_v3.csv"
"16","social","succeeded","1","36.482","102.48","7","7","6","0.071","0.2734","experiment_results_v3.csv"
"17","social","aborted","0","25.302","81.18","8","16","2","0.225","0.2939","experiment_results_v3.csv"
"17","social","succeeded","1","36.035","102.9","7","7","4","0.093","0.2408","experiment_results_v3.csv"
"18","social","succeeded","0","36.256","102.16","5","9","2","0.229","0.245","experiment_results_v3.csv"
"19","social","succeeded","0","37.243","103.07","5","7","3","0.26","0.2669","experiment_results_v3.csv"
"20","social","succeeded","0","36.828","101.82","6","7","5","0.104","0.2857","experiment_results_v3.csv"
"1","social_astar","aborted","0","30.041","84.56","6","12","1","0.185","0.3766","social_4groups_headless_10.csv"
"1","social_astar","aborted","1","17.534","367.04","2","7","1","0.322","0.1457","social_4groups_headless_10.csv"
"1","social_astar","succeeded","2","38.395","104.09","9","7","3","0.075","0.2595","social_4groups_headless_10.csv"
"2","social_astar","succeeded","0","39.261","114.92","9","17","6","0.136","0.3063","social_4groups_headless_10.csv"
"3","social_astar","succeeded","0","36.137","114.85","9","10","5","0.042","0.2268","social_4groups_headless_10.csv"
"4","social_astar","succeeded","0","36.241","172.16","20","23","14","0.015","0.2261","social_4groups_headless_10.csv"
"5","social_astar","succeeded","0","36.218","99.17","7","13","2","0.292","0.2506","social_4groups_headless_10.csv"
"6","social_astar","aborted","0","17.172","57.43","4","5","1","0.168","0.3364","social_4groups_headless_10.csv"
"6","social_astar","succeeded","1","36.423","114.77","10","10","6","0.258","0.2039","social_4groups_headless_10.csv"
"7","social_astar","succeeded","0","36.276","123.07","12","14","5","0.264","0.2217","social_4groups_headless_10.csv"
"8","social_astar","aborted","0","24.956","73.45","7","8","4","0.024","0.3047","social_4groups_headless_10.csv"
"8","social_astar","succeeded","1","38.061","104.17","8","11","4","0.282","0.2063","social_4groups_headless_10.csv"
"9","social_astar","succeeded","0","38.171","112.27","12","14","6","0.004","0.2408","social_4groups_headless_10.csv"
"10","social_astar","succeeded","0","36.45","101.59","11","8","4","0.038","0.2056","social_4groups_headless_10.csv"
"11","social_astar","succeeded","0","35.907","100.94","5","14","2","0.418","0.2773","experiment_results_v3.csv"
"12","social_astar","succeeded","0","37.559","166.46","14","24","12","0.118","0.2708","experiment_results_v3.csv"
"13","social_astar","aborted","0","15.838","45.07","2","2","1","0.347","0.2912","experiment_results_v3.csv"
"13","social_astar","timeout","1","33.395","450.4","62","72","6","0.021","0.1375","experiment_results_v3.csv"
"14","social_astar","succeeded","0","36.357","103.23","6","8","4","0.029","0.2161","experiment_results_v3.csv"
"15","social_astar","succeeded","0","41.286","187.42","13","21","6","0.071","0.2683","experiment_results_v3.csv"
"16","social_astar","succeeded","0","36.158","103.54","6","18","7","0.124","0.2917","experiment_results_v3.csv"
"17","social_astar","succeeded","0","36.485","99.69","8","14","3","0.145","0.2851","experiment_results_v3.csv"
"18","social_astar","succeeded","0","36.32","99.83","7","13","3","0.297","0.2788","experiment_results_v3.csv"
"19","social_astar","succeeded","0","36.401","101.61","7","8","3","0.117","0.2637","experiment_results_v3.csv"
"20","social_astar","succeeded","0","36.633","148.58","16","18","11","0.106","0.236","experiment_results_v3.csv"
"1","social_smac","aborted","0","53.825","181.8","12","22","11","0.037","0.3287","social_4groups_headless_10.csv"
"1","social_smac","succeeded","1","42.156","107.45","10","15","4","0.281","0.3466","social_4groups_headless_10.csv"
"2","social_smac","succeeded","0","42.058","125.95","11","12","4","0.041","0.3638","social_4groups_headless_10.csv"
"3","social_smac","aborted","0","49.701","167.56","18","18","1","0.305","0.3308","social_4groups_headless_10.csv"
"3","social_smac","timeout","1","41.034","450.38","31","47","26","0.023","0.2518","social_4groups_headless_10.csv"
"4","social_smac","aborted","0","40.397","182.75","12","16","2","0.321","0.3349","social_4groups_headless_10.csv"
"4","social_smac","aborted","1","26.177","81.81","8","11","3","0.2","0.3586","social_4groups_headless_10.csv"
"4","social_smac","aborted","2","16.031","121.84","2","3","1","0.357","0.41","social_4groups_headless_10.csv"
"5","social_smac","succeeded","0","44.82","141.77","11","16","3","0.072","0.2988","social_4groups_headless_10.csv"
"6","social_smac","aborted","0","41.996","115.07","11","13","5","0.076","0.309","social_4groups_headless_10.csv"
"6","social_smac","succeeded","1","37.727","100.5","6","9","0","0.479","0.3168","social_4groups_headless_10.csv"
"7","social_smac","succeeded","0","37.203","103.42","5","8","1","0.195","0.3212","social_4groups_headless_10.csv"
"8","social_smac","succeeded","0","44.308","142.02","8","14","3","0.062","0.3272","social_4groups_headless_10.csv"
"9","social_smac","succeeded","0","37.854","101.46","7","8","1","0.16","0.3099","social_4groups_headless_10.csv"
"10","social_smac","succeeded","0","37.625","100.55","4","7","1","0.31","0.2986","social_4groups_headless_10.csv"
"11","social_smac","succeeded","0","41.677","394.17","14","60","8","0.022","0.4651","experiment_results_v3.csv"
"12","social_smac","aborted","0","37.718","97.55","12","15","5","0.133","0.421","experiment_results_v3.csv"
"12","social_smac","succeeded","1","48.897","160.83","8","10","3","0.082","0.3269","experiment_results_v3.csv"
"13","social_smac","timeout","0","40.6","450.61","46","52","36","0.049","0.1567","experiment_results_v3.csv"
"14","social_smac","succeeded","0","42.653","128.29","9","11","4","0.095","0.3627","experiment_results_v3.csv"
"15","social_smac","succeeded","0","39.748","108.28","5","7","1","0.366","0.2698","experiment_results_v3.csv"
"16","social_smac","succeeded","0","37.535","95.33","8","13","4","0.158","0.505","experiment_results_v3.csv"
"17","social_smac","timeout","0","27.077","450.43","65","60","48","0.142","0.1824","experiment_results_v3.csv"
"18","social_smac","aborted","0","24.705","73.84","9","9","3","0.056","0.5427","experiment_results_v3.csv"
"18","social_smac","succeeded","1","37.697","99.36","7","10","5","0.09","0.3498","experiment_results_v3.csv"
"19","social_smac","aborted","0","50.283","236.14","10","18","5","0.026","0.312","experiment_results_v3.csv"
"19","social_smac","aborted","1","27.827","81.83","6","7","2","0.186","0.3933","experiment_results_v3.csv"
"19","social_smac","aborted","2","22.528","86.5","8","9","7","0.065","0.2582","experiment_results_v3.csv"
"20","social_smac","succeeded","0","45.455","148.48","16","18","3","0.051","0.4228","experiment_results_v3.csv"
"1","social_dstar","succeeded","0","36.333","87.54","6","10","4","0.023","0.2633","social_4groups_headless_10.csv"
"2","social_dstar","succeeded","0","36.758","95.84","7","11","7","0.043","0.3009","social_4groups_headless_10.csv"
"3","social_dstar","succeeded","0","37.553","403.79","33","40","53","0.036","0.1622","social_4groups_headless_10.csv"
"4","social_dstar","succeeded","0","36.417","103.86","5","8","7","0.249","0.1951","social_4groups_headless_10.csv"
"5","social_dstar","succeeded","0","36.448","92.48","7","10","6","0.145","0.296","social_4groups_headless_10.csv"
"6","social_dstar","succeeded","0","36.579","93.91","8","11","5","0.066","0.2141","social_4groups_headless_10.csv"
"7","social_dstar","succeeded","0","36.785","94.38","8","11","5","0.29","0.2231","social_4groups_headless_10.csv"
"8","social_dstar","succeeded","0","40.493","104.82","8","11","16","0.072","0.2884","social_4groups_headless_10.csv"
"9","social_dstar","succeeded","0","36.857","104.93","7","12","2","0.3","0.2015","social_4groups_headless_10.csv"
"10","social_dstar","aborted","0","29.661","90.74","12","11","6","0.03","0.3136","social_4groups_headless_10.csv"
"10","social_dstar","timeout","1","39.699","450.63","31","36","2","0.094","0.1174","social_4groups_headless_10.csv"
