experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,source
9,social_dstar,succeeded,0,36.857,104.93,7,12,2,0.3,0.2015,social_4groups_headless_10.csv
10,social_dstar,aborted,0,29.661,90.74,12,11,6,0.03,0.3136,social_4groups_headless_10.csv
10,social_dstar,timeout,1,39.699,450.63,31,36,2,0.094,0.1174,social_4groups_headless_10.csv
1,social_dstar_plus,timeout,0,50.296,450.59,27,31,14,0.042,0.2241,experiment_results_v3.csv
2,social_dstar_plus,succeeded,0,36.484,96.22,8,14,1,0.062,0.2432,experiment_results_v3.csv
3,social_dstar_plus,succeeded,0,51.481,395.27,42,47,6,0.037,0.1888,experiment_results_v3.csv
4,social_dstar_plus,succeeded,0,36.478,104.87,7,11,2,0.168,0.2214,experiment_results_v3.csv
5,social_dstar_plus,succeeded,0,37.084,101.03,6,8,2,0.296,0.2512,experiment_results_v3.csv
6,social_dstar_plus,succeeded,0,37.958,100.66,6,9,3,0.231,0.2428,experiment_results_v3.csv
7,social_dstar_plus,succeeded,0,43.291,110.62,8,10,2,0.332,0.2308,experiment_results_v3.csv
8,social_dstar_plus,succeeded,0,38.878,100.46,6,8,0,0.505,0.204,experiment_results_v3.csv
9,social_dstar_plus,succeeded,0,36.655,106.35,6,11,2,0.331,0.1989,experiment_results_v3.csv
10,social_dstar_plus,succeeded,0,36.634,101.84,7,8,5,0.227,0.2212,experiment_results_v3.csv
11,social_dstar_plus,succeeded,0,36.79,101.06,6,8,1,0.366,0.2506,experiment_results_v3.csv
12,social_dstar_plus,succeeded,0,41.725,114.55,7,10,2,0.042,0.2194,experiment_results_v3.csv
13,social_dstar_plus,succeeded,0,38.299,101.88,6,8,2,0.252,0.2002,experiment_results_v3.csv
14,social_dstar_plus,aborted,0,28.061,71.77,8,11,4,0.001,0.2467,experiment_results_v3.csv
14,social_dstar_plus,succeeded,1,36.388,102.65,6,12,4,0.031,0.2358,experiment_results_v3.csv
15,social_dstar_plus,aborted,0,30.84,389.31,33,48,43,0.065,0.1449,experiment_results_v3.csv
15,social_dstar_plus,succeeded,1,37.012,99.77,6,12,3,0.085,0.2018,experiment_results_v3.csv
16,social_dstar_plus,succeeded,0,36.92,101.17,7,8,2,0.21,0.2064,experiment_results_v3.csv
